osm_type,osm_id,wd_member_ids
r,21142,Q198736:1 Q1723768:1
r,27662,Q661002:2
r,27663,Q661002:2
r,27667,Q661002:2
r,28424,Q661002:4
r,37315,Q541041:1
r,48073,Q2532986:1
r,49194,Q17559018:2
r,60374,Q541041:1
r,60959,Q1647617:1
r,63249,Q661002:1
r,65025,Q472754:1
r,69851,Q996058:1
r,69862,Q996058:1
r,74824,Q1327299:4
r,105124,Q1620795:1
r,108055,Q1620795:1
r,118059,Q1327299:6 Q1674275:2
r,122633,Q1327299:5 Q1674275:2
r,122634,Q1327299:5 Q1674275:2
r,126325,Q803278:1
r,139020,Q315548:33
r,139021,Q315548:37
r,163291,Q19277168:1
r,165847,Q1674275:2
r,172560,Q996058:1
r,173492,Q996058:1
r,190230,Q802272:46
r,240305,Q1327299:1 Q1674275:2
r,271939,Q17559018:1
r,318468,Q996058:1
r,324244,Q17559018:1
r,325744,Q541041:2
r,331344,Q996058:1
r,336421,Q996058:1
r,340655,Q1620795:1
r,359774,Q1327299:1 Q1674275:2
r,359779,Q1327299:1 Q1674275:2
r,359796,Q1327299:6 Q1674275:2
r,361959,Q1327299:6 Q1674275:2
r,361961,Q1327299:6 Q1674275:2
r,361962,Q1327299:6 Q1674275:2
r,365393,Q878631:22
r,365509,Q1327299:1 Q1674275:2
r,365510,Q1327299:6 Q1674275:2
r,365512,Q1327299:6 Q1674275:2
r,365525,Q1327299:6 Q1674275:2
r,373060,Q1281591:9 Q1672280:12 Q1842175:1
r,384614,Q127089:1 Q803137:6
r,405753,Q55462283:1
r,408109,Q2390038:1
r,415436,Q10853:1
r,424631,Q15108125:1
r,432253,Q27658498:1
r,454054,Q2579762:2
r,511693,Q1530694:1
r,531518,Q1545863:1
r,531519,Q1545863:1
r,531674,Q394817:1
r,535363,Q1327299:6 Q1674275:2
r,539311,Q800913:1
r,539312,Q800913:1
r,542317,Q1397118:1 Q15115282:1
r,552112,Q785585:1
r,552967,Q2390038:1
r,554300,Q1327299:6 Q1674275:2
r,571984,Q1327299:6 Q1674275:2
r,582233,Q160899:5
r,693150,Q1327299:6 Q1674275:2 Q2166112:1
r,693170,Q2166112:1
r,812280,Q1327299:1 Q1674275:2
r,898593,Q1327299:1 Q1674275:2
r,904497,Q1097:1
r,940035,Q55449454:1
r,940037,Q55463951:1
r,940050,Q55449454:1
r,962560,Q682583:1
r,1018937,Q2459957:1
r,1019711,Q800913:1 Q2642035:1
r,1019712,Q800913:1 Q2642035:1
r,1028379,Q1327299:1
r,1029021,Q1327299:1
r,1061699,Q127089:1 Q829217:32
r,1061707,Q3239584:9
r,1085054,Q1327299:6 Q1674275:2
r,1110204,Q45899781:1
r,1116873,Q1555455:2 Q1678261:1 Q14913906:1
r,1116875,Q1555455:2 Q1678261:1 Q14913906:1
r,1214466,Q800913:1
r,1228608,Q2466100:2
r,1273375,Q1620795:1
r,1286560,Q541041:1
r,1345266,Q541041:1 Q801637:1
r,1445605,Q996058:1
r,1479499,Q1327299:5
r,1479500,Q1327299:1 Q1674275:2
r,1513812,Q970889:2
r,1513813,Q970889:2
r,1514225,Q1135986:1
r,1514226,Q1135986:1
r,1552521,Q1876986:1
r,1622804,Q803278:1
r,1625083,Q470320:1 Q3096697:1 Q15148524:4
r,1636456,Q785585:1
r,1711598,Q1309912:1
r,1717086,Q896564:21
r,1717088,Q896564:56
r,1739109,Q186149:1 Q17122873:1
r,1749279,Q1031728:1 Q1792221:1 Q18947811:1
r,1769072,Q1699351:11
r,1972014,Q1876986:1
r,1988237,Q896564:24
r,1988240,Q315378:9
r,1988241,Q315378:20
r,1988242,Q541041:1
r,1988247,Q896564:57
r,1988248,Q896564:57
r,1988253,Q315378:9
r,1988254,Q315378:20
r,1988255,Q315548:86
r,1988258,Q315548:84
r,1988261,Q315548:49
r,1988263,Q315548:50
r,1988463,Q589865:5 Q15739669:1
r,1998580,Q1699351:73
r,1998586,Q460087:17
r,1998596,Q878631:23
r,1998597,Q541041:1
r,1999988,Q541041:1
r,2003447,Q661002:1
r,2003448,Q661002:3
r,2003478,Q541041:1
r,2003630,Q996058:1
r,2070282,Q802862:3
r,2096530,Q1897914:3
r,2114091,Q596682:10
r,2122055,Q1723272:1
r,2140473,Q996058:1
r,2148373,Q1246871:1
r,2153837,Q1792221:1 Q18947811:1
r,2153838,Q1031728:1
r,2155113,Q394815:1
r,2155116,Q182958:11
r,2155118,Q52159022:7
r,2155201,Q1548503:2
r,2163916,Q2244949:4 Q15056587:1
r,2266974,Q1327299:4
r,2280871,Q1642426:1
r,2369111,Q800719:1 Q15882320:1
r,2441429,Q1310790:2
r,2441438,Q801908:2
r,2441443,Q1603083:1
r,2441446,Q835014:1
r,2441455,Q872372:2
r,2441458,Q832962:2
r,2441593,Q896154:2
r,2517988,Q896564:56
r,2543002,Q460087:17
r,2544303,Q541041:1 Q801637:1
r,2546059,Q7388210:1 Q7388333:1
r,2546088,Q7388174:1
r,2546089,Q802272:47
r,2566708,Q1135986:2
r,2599005,Q1614121:1
r,2599025,Q996003:1
r,2620916,Q93989:1
r,2625869,Q1327299:2 Q1674275:2
r,2625952,Q1327299:4
r,2627439,Q1327299:2
r,2627441,Q1327299:1
r,2628596,Q1327299:5 Q1674275:2
r,2628636,Q970889:4
r,2631905,Q1327299:4 Q1674275:2
r,2643196,Q721940:1
r,2643197,Q721940:1
r,2665725,Q802272:1 Q874359:1 Q882593:1 Q7388234:1 Q7388346:1
r,2669207,Q597759:1
r,2678986,Q571019:1 Q628770:1
r,2763974,Q160899:5
r,2930518,Q2252086:2
r,3088320,Q462284:1
r,3251211,Q1674275:2
r,3251212,Q1327299:1 Q1674275:2
r,3307071,Q1620795:1
r,3307072,Q1620795:1
r,3336459,Q116247:1 Q320066:1 Q803386:2
r,3419551,Q165462:3
r,3425226,Q160899:5
r,3428693,Q2459957:1
r,3781684,Q1327299:1
r,3781686,Q1327299:2
r,3928271,Q1327299:4
r,3928272,Q1327299:4
r,3928273,Q1327299:4
r,3999696,Q1555455:4 Q1678261:2 Q14913906:2
r,4185010,Q541041:1 Q801637:1
r,4185011,Q541041:1 Q801637:1
r,4185012,Q541041:1
r,4185013,Q541041:1
r,4217837,Q1599810:18
r,4261807,Q453861:1
r,4270168,Q996058:1
r,4544339,Q7388234:1
r,4601257,Q160899:5 Q21037225:2
r,4783857,Q830803:1
r,5311905,Q203252:2
r,5312041,Q203252:2
r,5312153,Q19248682:2
r,5683643,Q523709:1 Q1808755:1 Q2651416:1
r,5683647,Q627722:1
r,5684767,Q14907:1 Q2271007:1 Q15846962:1
r,5732829,Q523709:1
r,5733190,Q1327299:6 Q1674275:2
r,5734689,Q1327299:6 Q1674275:2
r,5734690,Q1327299:4 Q1674275:2
r,5736642,Q127089:1 Q803137:6
r,5747258,Q661002:2
r,5748738,Q661002:2
r,5756097,Q661002:2
r,5756147,Q661002:2
r,5759225,Q42297826:1
r,5861794,Q472185:1
r,5984860,Q320225:1
r,6147169,Q9351474:1
r,6172895,Q15834578:1
r,6522175,Q3239584:4
r,6522177,Q3239584:5
r,6578740,Q2252086:2
r,6600584,Q7040:1
r,6600639,Q22863:1
r,6600640,Q1714892:1
r,6624935,Q1718033:6
r,6760736,Q661002:1
r,6897922,Q1699351:76
r,6898565,Q1699351:12
r,7371578,Q2069729:1 Q2503664:1
r,7723099,Q1918102:1
r,7778998,Q1377711:1
r,7935308,Q543232:1
r,7972377,Q1987865:1
r,8049488,Q1386682:1 Q1766780:1
w,4119919,Q12321185:1
w,4308645,Q1682851:1
w,4365739,Q785585:1
w,4371246,Q800949:1
w,4546220,Q17559018:1
w,4673990,Q15058273:1
w,4726571,Q918481:1
w,4942791,Q567518:1
w,5063875,Q784713:1
w,6052315,Q801637:1
w,7765474,Q1301376:1
w,8115426,Q812451:1
w,9634450,Q801007:1
w,10275551,Q1312314:1
w,10420023,Q870542:1
w,10870260,Q1476543:1
w,12373748,Q62432:1
w,12373749,Q1363264:1
w,14390921,Q2148307:1
w,15971186,Q688335:1
w,19782049,Q800714:1
w,22983074,Q832027:1
w,23019493,Q321783:1
w,23021391,Q883097:1
w,23071417,Q1980363:1
w,23797672,Q2055734:1
w,24207251,Q800951:1
w,24682222,Q11774738:1
w,24704801,Q1397118:1
w,24792659,Q659190:1
w,25321345,Q1451897:1
w,25608163,Q180647:1
w,25608165,Q180647:1
w,25791050,Q28053389:1
w,25904848,Q2594847:1
w,25920719,Q801572:2
w,26700633,Q2259320:1
w,26711903,Q28053390:1 Q28053400:1 Q28053518:1
w,26860477,Q55462119:1
w,26968467,Q721940:1
w,27049054,Q1711562:1
w,27184656,Q1508708:1
w,27227090,Q258177:1
w,27367738,Q1974683:1
w,27472411,Q1926476:1
w,28115705,Q18611603:1
w,28141567,Q870542:1
w,28270243,Q875069:1
w,28504174,Q55041875:1
w,28866229,Q831687:1 Q831712:1 Q831955:1
w,29045677,Q541041:1
w,29985151,Q503693:1
w,30024389,Q459121:1
w,30048200,Q1701017:1
w,30048202,Q1701017:1
w,30066008,Q1257839:1
w,30239341,Q2657912:1
w,30291613,Q306927:1
w,30728614,Q1711562:1
w,30748718,Q50323915:1
w,30780008,Q244450:1
w,30780250,Q773086:1
w,30811671,Q315293:1
w,30881164,Q833549:1
w,30976157,Q41381924:1
w,30992663,Q41402866:1
w,30993761,Q41402986:1
w,31164979,Q41404095:1
w,31668866,Q1419641:1
w,32622359,Q2450846:1
w,32953222,Q700092:1
w,33002376,Q314746:1
w,33636244,Q55407072:1
w,33715425,Q1772359:1
w,34113950,Q2265064:1
w,34174820,Q801358:1
w,34851498,Q977244:1
w,34944222,Q2642035:1
w,35314142,Q320745:1
w,35787106,Q41402869:1
w,35963215,Q41382056:1
w,36058943,Q2055734:1
w,37281563,Q1402367:1
w,37427309,Q721968:1
w,37745994,Q2231432:1
w,37760845,Q896156:1
w,38109969,Q2313565:1
w,38717652,Q1472675:1
w,38717653,Q1472675:1
w,38737591,Q800913:1
w,39691827,Q41310016:1
w,39692397,Q41309944:1
w,39696891,Q41404143:1
w,39696893,Q54968383:1
w,39698646,Q41402534:1
w,39698649,Q41402535:1
w,39698657,Q28756188:1
w,39698661,Q28756190:1
w,39698663,Q28756191:1
w,39743376,Q41241908:1
w,39743394,Q55493963:1
w,39748905,Q41392513:1
w,39748907,Q41392511:1
w,39748910,Q41392516:1
w,39748913,Q41392509:1
w,39748915,Q41392561:1
w,39748917,Q41392553:1
w,39748918,Q41392549:1
w,39748920,Q41392544:1
w,39748923,Q41392545:1
w,39748925,Q41392557:1
w,39748927,Q41392552:1
w,39757069,Q41373404:1
w,39757070,Q41392535:1
w,39757089,Q55042559:1
w,39757098,Q41373404:1
w,39757105,Q41392559:1
w,39757107,Q55042738:1
w,39757117,Q55042312:1
w,39825556,Q41411325:1
w,39825560,Q41411200:1
w,40599196,Q1014052:1
w,40748095,Q442204:1
w,40866531,Q264850:1
w,40931201,Q1363127:1
w,40931204,Q1363127:1
w,41698901,Q17559018:1
w,41706570,Q871980:1
w,42676694,Q800913:1
w,42956074,Q2382182:1
w,44020521,Q832027:1
w,45898174,Q800913:1
w,46351920,Q2239489:1
w,47419487,Q569145:1
w,47974161,Q7001614:1
w,50168935,Q1721163:1
w,51605695,Q1257839:1
w,53145683,Q1632974:1
w,53180416,Q2055734:1
w,53205767,Q316715:1
w,53265663,Q881899:1
w,53906684,Q19288834:1
w,54370371,Q255743:1
w,54643357,Q1949077:1
w,54643369,Q1268750:1 Q1793305:1
w,54643377,Q315499:1
w,55024255,Q1230763:1
w,55038169,Q264850:1
w,55063207,Q785585:1
w,58776444,Q1397118:1
w,59207808,Q1013307:1
w,59511012,Q2445659:1
w,59511028,Q2445659:1
w,60544722,Q918481:1
w,60616688,Q306927:1 Q453696:1 Q624393:1
w,60671278,Q1068436:1
w,70559928,Q55419811:1
w,70740499,Q55419876:1
w,73908971,Q2125403:1
w,76095113,Q1955786:1
w,76562667,Q831678:1 Q831978:1
w,76620477,Q770706:1
w,77353066,Q833549:1
w,77353076,Q833478:1
w,77379552,Q833533:1
w,77499562,Q831816:1
w,77499563,Q382626:1
w,77499564,Q831982:1
w,80391233,Q826035:1
w,83015625,Q690762:1 Q996058:1 Q1573711:1 Q1589852:1 Q2147862:1
w,84394142,Q2531545:1
w,87439761,Q1751370:1
w,97602691,Q2451777:1
w,98588403,Q2429367:1
w,99053908,Q316715:1
w,99053927,Q316715:1
w,99245326,Q30783376:1
w,100655473,Q4110:1
w,102780654,Q872918:1
w,102780811,Q800718:1
w,104968957,Q146924:1
w,104968971,Q146924:1
w,105070999,Q315629:1
w,106546358,Q884695:1
w,109399284,Q1552055:1
w,110484498,Q1628424:1
w,111555416,Q1628424:1
w,112725351,Q2291243:1
w,113616987,Q871980:1
w,120635324,Q803203:1
w,121006164,Q801611:1
w,121118112,Q2551134:1
w,123144067,Q19817142:1
w,124971480,Q314746:1
w,127045526,Q19817142:1
w,128180300,Q1345089:1
w,133604774,Q2034601:1
w,134159383,Q785585:1
w,135934766,Q831845:1 Q833621:1
w,136351901,Q1419641:1
w,137409768,Q503693:1
w,138647794,Q1515760:1
w,138647799,Q1515760:1
w,141862283,Q831696:1
w,142952336,Q1593849:1
w,142952376,Q1593849:1
w,143658839,Q1623573:1
w,143659229,Q1623573:1
w,143660371,Q1623573:1
w,143977447,Q801611:1
w,144447168,Q785585:1
w,145416965,Q800719:1
w,148492248,Q1659099:1
w,149758260,Q702366:1
w,149900613,Q542495:1
w,149900636,Q542495:2
w,150208517,Q2233:1
w,151067920,Q800827:1
w,151068894,Q800827:1
w,151911421,Q975980:1
w,152748673,Q1623761:1
w,153180591,Q2048228:1
w,157901092,Q872918:1 Q2253521:1
w,157909702,Q874001:1
w,159346950,Q1616891:1
w,159346954,Q1616891:1
w,160060348,Q694708:1
w,160175124,Q1868223:1
w,164958698,Q1012314:1
w,175286333,Q2356425:1
w,179710363,Q1257839:1
w,180178681,Q47019434:1
w,181008982,Q2253521:1
w,183201587,Q1685237:1
w,186930830,Q258177:1
w,189298024,Q306927:1
w,192083335,Q1281147:1
w,192542335,Q569145:1
w,195765882,Q255743:1
w,195766573,Q255743:1
w,196091028,Q1489790:2
w,196091031,Q315293:1
w,196091042,Q1790064:1
w,196091053,Q1790064:1
w,196091069,Q2259320:1
w,196717221,Q721940:1
w,198331223,Q884695:1
w,206445098,Q773086:1
w,207891586,Q320745:1
w,208465231,Q91903:1 Q1022569:1
w,218271810,Q146924:2
w,218451719,Q162993:1
w,220401803,Q442204:1
w,221960016,Q785585:1
w,223170077,Q2055734:1
w,225273030,Q773086:1
w,236082716,Q1623573:1
w,236082780,Q1623573:1
w,240018357,Q1652695:1
w,243022697,Q1739789:1
w,243934137,Q453250:1 Q1149976:1
w,244328497,Q80844:1
w,247918377,Q801475:1
w,257216452,Q679080:1
w,259184818,Q1439245:1
w,262851950,Q800913:1
w,279144874,Q1721549:1
w,283221229,Q1419641:1
w,291155869,Q801408:1
w,291155871,Q801358:1
w,292113482,Q800949:1
w,295687931,Q2239489:1
w,305888115,Q19968225:1
w,307317529,Q659190:1
w,309051288,Q2429367:1
w,313982891,Q37380920:1
w,316727757,Q1281147:1
w,321461576,Q2429367:1
w,321461580,Q2429367:1
w,325724109,Q2259320:1
w,327401618,Q55092268:1
w,327401619,Q55710832:1 Q55711000:1
w,327942666,Q1955786:1
w,327942667,Q1955786:1
w,327942669,Q1955786:1
w,328644724,Q628770:1
w,328670478,Q871980:1
w,338309542,Q19817142:1
w,338550532,Q19817142:1
w,341464921,Q1404075:1
w,344680229,Q1013156:1
w,349183914,Q315629:1
w,363573248,Q322769:1
w,363696842,Q1826180:1
w,367120245,Q1237632:1
w,370494971,Q319452:1
w,372499790,Q1268788:1
w,372499823,Q1268788:1
w,377516749,Q55710765:1
w,380391926,Q656401:1
w,384345632,Q597759:1
w,388689201,Q571019:1
w,391385379,Q374881:1
w,415878841,Q801142:1
w,421156843,Q1301956:1
w,435272927,Q833557:1
w,440764810,Q15050626:1
w,440929839,Q2285902:1
w,440929843,Q15850911:1
w,440932337,Q23038388:1
w,440936775,Q1246780:1
w,465220871,Q1801589:1
w,487038130,Q503693:1
w,492715420,Q2313565:1
w,496357278,Q2231432:1
w,496747126,Q17559018:2
w,532431562,Q1498234:1
w,536462733,Q23038388:1
w,538997865,Q542495:1
w,544144112,Q28053390:1
w,544144113,Q28053390:1
w,552999083,Q1489790:1
w,552999085,Q1489790:1
w,554301425,Q315293:1
w,562997743,Q317003:1 Q696067:1 Q831155:1 Q1255455:1 Q1499122:1 Q2565482:1
w,568581786,Q28053526:1
w,568581790,Q28053525:1
w,598701701,Q55365356:1
w,602855220,Q55234975:1
w,603048668,Q55252692:1
w,603223034,Q55253386:1
w,604512919,Q55347453:1
w,604976709,Q55442555:1
w,605482723,Q55398335:1
w,605679460,Q55085348:1
w,607259415,Q55442555:1
w,608368480,Q41411204:1
w,608369337,Q41411207:1
