osm_type,osm_id,wd_member_ids
w,42133089,Q4133703
w,7759232,Q642396
w,40934682,Q4327845
w,34242079,Q206798
w,46742715,Q673660
w,75393772,Q4296878
w,75393831,Q347
w,75786186,Q206798
w,147205698,Q949245 Q4332782
w,151980379,Q642396
w,153027485,Q4072361
w,157874837,Q49659
w,205201090,Q125968
w,206508127,Q125968
w,218326136,Q75570
w,240364105,Q666531
w,241034125,Q1572410
w,298204931,Q4364503
w,300026614,Q49660
w,300399937,Q4133703
w,426199113,Q4244296
w,497522196,Q84489
w,571067337,Q666531
w,611809461,Q4134274
r,3267160,Q27854139
r,2668952,Q368882
r,3989557,Q1792561
