osm_type,osm_id,wd_ids,wd_member_ids
n,26863444,Q4244296,
n,32011242,Q49660,
n,90486978,Q642396,
n,206090675,Q1572410,
n,240046176,Q991615,
n,240077147,Q49655,
n,240079149,Q49657,
n,240080206,Q49662,
n,240092661,Q49654,
n,240100249,Q49663,
n,240106262,Q49651,
n,240120066,Q49659,
n,333223250,Q666531,
n,425270092,Q75570,
n,523962144,Q4134274,
n,890268617,Q4296878,
n,890269809,Q4332782,
n,1342463884,Q4528266,
n,1401972676,Q206798,
n,1501969254,Q4072361,
n,1932181216,Q1844,
n,1966389666,Q125968,
n,2712924224,Q2065492,
n,2713010522,Q673660,
n,3016379386,Q4142758,
n,3016379389,Q4232662,
n,3016379390,Q6486496,
n,3016379392,Q4364503,
n,3022807519,Q4540,
n,3022807520,Q49661,
n,3027296239,Q4063561,
n,3027296240,Q4133703,
n,3076845237,Q949245,
n,3565824547,Q4497169,
n,3565824548,Q4327845,
n,3696525426,Q347,
n,4744756149,Q2064447,
n,4845609798,Q84489,
r,16239,Q40,
r,51701,Q39,Q11925:1 Q12746:1
r,74804,Q698606,
r,74942,Q38981,
r,75152,Q384914,
r,75155,Q183104,
r,75164,Q698577,
r,76682,Q646969,
r,123924,Q584,
r,285633,Q460455,
r,303432,Q645385,
r,1155945,Q49654,
r,1155946,Q49655,
r,1155947,Q49662,
r,1155948,Q49651,
r,1155949,Q4540,
r,1155950,Q49659,
r,1155951,Q49661,
r,1155952,Q49657,
r,1155953,Q49663,
r,1155954,Q49660,
r,1155955,Q347,Q347:1 Q1844:1
r,1155956,Q1844,
r,1252853,Q694782,
r,1683857,Q68281,
r,1683869,Q68277,
r,1683931,Q64571,
r,1683938,Q69393,
r,1683939,Q69612,
r,1683961,Q66788,
r,1684081,Q65386,
r,1684110,Q64178,
r,1686631,Q11925,
r,1687006,Q12746,
r,1687101,Q188220,
r,1687214,Q661066,
r,1687219,Q75069,
r,2018280,Q23013948,
r,2113486,Q1265938,Q659729:1
r,2128682,Q659729,
r,2668952,Q458,
r,2698607,Q1286,Q202760:1
r,3267160,Q681581,
r,3660335,Q368882,Q1572410:1
r,5418967,Q873709,
r,5418968,Q2436722,
r,5418969,Q2445373,
w,28712148,Q1792561,
w,29453885,Q156065,
w,39003399,Q7074727,
w,62033426,Q7897579,
w,133161424,Q2175456,
w,168332655,Q1225854,
w,320911509,Q597004,
w,364484143,Q27854139,
w,424375867,Q202760,
w,437733962,Q1012141,
