osm_type,osm_id,otherIDs
n,26863444,l40701965666008 Q4244296
n,32011242,l40701985548502 Q49660
n,90486978,l40701956126005 Q642396
n,206090675,l40702915165105 Q1572410
n,240046176,l40701995743300 Q991615
n,240077147,l40702935142508 Q49655
n,240079149,l40701965613003 Q49657
n,240080206,l40702915910002 Q49662
n,240092661,l40701905629704 Q49654
n,240100249,l40700965606000 Q49663
n,240106262,l40701915846303 Q49651
n,240120066,l40702935927602 Q49659
n,333223250,l40700966007700 Q666531
n,425270092,l40700955064400 Q75570
n,523962144,l40701965151703 Q4134274
n,890268617,l40700965932401 Q4296878
n,890269809,l40701916426406 Q4332782
n,1342463884,l40701935093300 Q4528266
n,1401972676,l40701975575208 Q206798
n,1501969254,l40700986213001 Q4072361
n,1932181216,l40701935922207 Q1844
n,1966389666,l40700955488704 Q125968
n,2712924224,l40700965531907 Q2065492
n,2713010522,l40700945851606 Q673660
n,3016379386,l40700985261705 Q4142758
n,3016379389,l40700975954607 Q4232662
n,3016379390,l40700975954906 Q6486496
n,3016379392,l40700965579706 Q4364503
n,3022807519,l40702915226303 Q4540
n,3022807520,l40702915946108 Q49661
n,3027296239,l40701945857309 Q4063561
n,3027296240,l40701975062406 Q4133703
n,3076845237,l40609929408709 Q949245
n,3565824547,l40701945865108 Q4497169
n,3565824548,l40700995391801 Q4327845
n,3696525426,l40701945156301 Q347
n,4744756149,l40701945242407 Q2064447
n,4845609798,l40701905537002 Q84489
w,4008482,n21140740 n1364889835 n21140953 n3839226485 n1364889815 n1364889798 n1364889789 n1364889783 n21141175 n21140919 n1364889738 n1364889735 n1364889733 n21141141 n1364889734 n1364889736 n21140887 n1364889741 n1364889744 n1682288176 n21141114 n21140860 n1364889771 n21141193 n1364889763 n21140971 n1364889755 n1364889750 n21140736 n21140985 n1364889675 n21140775 n21141028 n1364889560 n1364889553 n1364889533 n1364889523 n21140802 n1364889481 n1364889469 n1364889457 n21141054 n1364889426 n1364889419 n1364889410 n21140832 n1198032052 n1364889403 n21141088
w,4014661,n21265515 n5176868170 n21265514 n21265513 n1364889886 n21265511 n1364889878 n1364889874 n21265510 n1364889851 n21265509 n1364889773 n21265508 n21265506 n1364889706 n21265505 n1364889691 n21265504 n2590598722 n1364889684 n21265503 n1364889687 n21265501 n1364889697 n21265500 n1364889712 n21265499 n1364889722 n1364889726 n21265498 n1364889742 n21265496 n21265495 n21265494 n21265493 n1364889865 n21265492 n1364889876 n21265491 n1364889887 n21265490 n1364889896 n21265489 n1364889901 n21265488 n21265487 n1364889880 n21265486 n1364889863 n1364889855 n1682288331 n21265485 n1364889853 n21265484 n21265483 n1364889823 n1364889821 n1364889828 n21265482 n1364889833 n21265481 n1364889841 n21265480 n1364889862 n21265479 n1364889869 n1364889870 n1364889867 n21265478 n1364889860 n21140740
w,4014662,n21141088 n21265389 n1364889404 n1364889407 n21265390 n1364889415 n21265391 n1364889423 n21265392 n1364889422 n21265393 n1364889414 n21265395 n1368247471 n21265396 n21265397 n21265398 n21265400 n1824737800 n1824737790 n1824737780 n1824737772 n21265402
w,4014663,n21265402 n1824737733 n21265403 n1824737710 n5253144521 n21265421 n1824737633 n21265422 n1824737614 n21265423 n1824737646 n21265424 n1824737712 n5253144220 n1824737648 n1824737608 n21265427 n1824737534 n5253144219 n21265428 n5253144218 n21265429 n21265430 n5253144217 n5253144216 n5253144215 n1824737125 n5253144214 n5253144213 n21265433 n5253144211 n5253144212 n3405164921 n324939849
w,4823378,n743769540 n743769656 n743769993 n743770072 n743769488 n743769597 n743769954 n743770039 n743769779 n743769873
w,5071063,n34236415 n993862503 hsecondary
w,5136476,n373456804 n759624093 n759624061 n1854137544 n759623989 n1854137545 n759624119 n1854137546 n759624024 n1854137547 n759624010 n1854137548 n887000697 n1854137549 n759623947 n1854137550 n1854137551 n1854137552 n1854137553 n1854137554 n759624044 n1854137555 n759623979 n759623960 n759623891 n759623992 n1854137557 n1854137571 n759623932 n1854137575 n759623914 n1854137578 n1854137560 n759624064 n1854137558 n1854137562 n1854137576 n1854137580 n759624113 n1854137583 n759624072 n1854137588 n1854137587 n1854137582 n759624002 n1854137573 n759623883 n1854137585 n759624036 n1854137594 n1854137592 n759624021 n1854137593 n1854137595 n759623956 n759624058 n1854137605 n1854137603 n1854137601 n1854137599 n1854137600 n759623986 n1854137590 n759623972 n1854137596 n1854137597 n1854137598 n1854137602 n1854137604 n1854137606 n759623912 n1854137607 n759624007 n1854137608 n759623943 n759623927 n1854137609 n759624079 n759624000 n1854137610 n1854137611 n1854137612 n759623940 n759623918 n759624069 n759623954 n1854137614 n3709774024 n759623875 n759624111 n1854137615 n1854137617 n1854137618 n759624016 n1854137620 n35597651 n1854137628 n1854137630 n35597652 n938283824 n897006496 n35597653 n897006499 n1854137632 n897012793 n35597654 n35597655 n35597656 n887064725 n897012799 n3709774047 n887064728 n887064730 n1854137634 n35597657 n897014873 n35597658 n1854137636 n887064732 n887064733 n887064735 n3365103830 n887064739 n887064743 n1854137637 n1854137639 n35597661 n1854137641 n938281576 n35597662 n1854137642 n35597663 n1854137644 n265649372 n1854137646 n35597664 n1854137647 n1854137649 n938281076 n887078517 n35597665 n1854137650 n35597666 n1854137651 n1854137652 n35597667 n1854137653 n35597669 n1854137654 n1854137655 n35597670 n1854137656 n1369691587 n1854137657 n35597671 n1854137659 n35597672 n1854137660 n1854137661 n1854137662 n35597673 n1854137663 n1854137664 n1854137665 n1854137667 n35597674
w,5149566,n5653868219 n631719784 n3684745130 n998213291 n3684745128 n998213287 n3684745127 n35714816 n998213311 n3684745126 n1586332175 n998213284 n3684745125 n373883351 n1586332133 n35714817 n998213309 n35714818 n3684745122 n573395796 n35714819 n35714820 n35714822 n3684745119 n998213295 n600109636 n573395797 n3684745117 n998213314 n35714823 n573395798 n3684745114 n3684745111 n573395799 n3684745100 n35714824 hsecondary
w,5149574,n4949452799 n1595006845 n35715016 n2419485889 n3684745068 n1595006833 n984194566 n35715017 hsecondary
w,5208638,n314745098 n314691512 n3590772955 n314691495 n3590772957 n1141435639 n3590772953 n314691496 n78401142 hsecondary
